#material
#Dust mixture
#Dust components:
#-graphite (parallel)
#   mass ratio: 0.125, size distr. : "plaw" (-3.5), size: 1e-07 [m] #-1e-05 [m]
#-graphite (perpend)
#   mass ratio: 0.25, size distr. : "plaw" (-3.5), size: 1e-07 [m] #-1e-05 [m]
#-astronomical silicate
#   mass ratio: 0.625, size distr. : "plaw" (-3.5), size: 1e-07 [m] #-1e-05 [m]

#weight
7.86597e+17
#aspect ratio
1
#sublimation temp [K]
300
#can align
1
#density [kg]
2896.55
#gold g factor
0
#f_highJ
0.25
#f_correlation
0
#min. grain size	max. grain size
1e-07	1e-05
#min. radius	max. radius [m]
1e-07	1e-05
#wavelength	avgCext1	avgCext2	avgCabs1	avgCabs2	avgCsca1	avgCsca2	Ccirc	avgHGg	avgQext1	avgQext2	avgQabs1	avgQabs2	avgQsca1	avgQsca2	avgKext1	avgKext2	avgKabs1	avgKabs2	avgKsca1	avgKsca2
1e-07	3.23697e-13	3.23697e-13	1.29811e-13	1.29811e-13	1.93885e-13	1.93885e-13	0	0.805445	2.47074	2.47074	1.05986	1.05986	1.41087	1.41087	593.256	593.256	237.912	237.912	355.344	355.344
1.06326e-07	3.23767e-13	3.23767e-13	1.33601e-13	1.33601e-13	1.90166e-13	1.90166e-13	0	0.811154	2.46981	2.46981	1.0898	1.0898	1.38001	1.38001	593.385	593.385	244.858	244.858	348.527	348.527
1.13052e-07	3.23463e-13	3.23463e-13	1.39368e-13	1.39368e-13	1.84095e-13	1.84095e-13	0	0.82693	2.46671	2.46671	1.13736	1.13736	1.32935	1.32935	592.827	592.827	255.427	255.427	337.401	337.401
1.20203e-07	3.23966e-13	3.23966e-13	1.44846e-13	1.44846e-13	1.79121e-13	1.79121e-13	0	0.843615	2.47433	2.47433	1.18588	1.18588	1.28845	1.28845	593.75	593.75	265.466	265.466	328.284	328.284
1.27807e-07	3.2516e-13	3.2516e-13	1.49465e-13	1.49465e-13	1.75695e-13	1.75695e-13	0	0.852041	2.48642	2.48642	1.22899	1.22899	1.25743	1.25743	595.938	595.938	273.933	273.933	322.006	322.006
1.35891e-07	3.27679e-13	3.27679e-13	1.51648e-13	1.51648e-13	1.76031e-13	1.76031e-13	0	0.851386	2.52828	2.52828	1.24716	1.24716	1.28112	1.28112	600.555	600.555	277.933	277.933	322.622	322.622
1.44487e-07	3.28325e-13	3.28325e-13	1.51642e-13	1.51642e-13	1.76683e-13	1.76683e-13	0	0.84885	2.52775	2.52775	1.23863	1.23863	1.28912	1.28912	601.739	601.739	277.922	277.922	323.817	323.817
1.53627e-07	3.2311e-13	3.2311e-13	1.53147e-13	1.53147e-13	1.69963e-13	1.69963e-13	0	0.851973	2.43398	2.43398	1.24696	1.24696	1.18701	1.18701	592.18	592.18	280.681	280.681	311.499	311.499
1.63345e-07	3.21296e-13	3.21296e-13	1.54182e-13	1.54182e-13	1.67114e-13	1.67114e-13	0	0.84978	2.41019	2.41019	1.25569	1.25569	1.1545	1.1545	588.856	588.856	282.577	282.577	306.279	306.279
1.73678e-07	3.23589e-13	3.23589e-13	1.50198e-13	1.50198e-13	1.7339e-13	1.7339e-13	0	0.799413	2.41585	2.41585	1.20321	1.20321	1.21264	1.21264	593.058	593.058	275.276	275.276	317.782	317.782
1.84665e-07	3.29043e-13	3.29043e-13	1.48873e-13	1.48873e-13	1.80171e-13	1.80171e-13	0	0.76363	2.48895	2.48895	1.20789	1.20789	1.28106	1.28106	603.055	603.055	272.846	272.846	330.209	330.209
1.96346e-07	3.36786e-13	3.36786e-13	1.41901e-13	1.41901e-13	1.94885e-13	1.94885e-13	0	0.701313	2.60999	2.60999	1.11933	1.11933	1.49066	1.49066	617.245	617.245	260.069	260.069	357.176	357.176
2.08766e-07	3.47563e-13	3.47563e-13	1.28179e-13	1.28179e-13	2.19384e-13	2.19384e-13	0	0.653173	2.80473	2.80473	0.955409	0.955409	1.84932	1.84932	636.997	636.997	234.921	234.921	402.076	402.076
2.21972e-07	3.60424e-13	3.60424e-13	1.22696e-13	1.22696e-13	2.37727e-13	2.37727e-13	0	0.645026	3.03953	3.03953	0.904223	0.904223	2.13531	2.13531	660.568	660.568	224.872	224.872	435.696	435.696
2.36013e-07	3.68681e-13	3.68681e-13	1.20882e-13	1.20882e-13	2.47799e-13	2.47799e-13	0	0.643861	3.1569	3.1569	0.87218	0.87218	2.28472	2.28472	675.7	675.7	221.546	221.546	454.154	454.154
2.50943e-07	3.73462e-13	3.73462e-13	1.19854e-13	1.19854e-13	2.53608e-13	2.53608e-13	0	0.646059	3.22753	3.22753	0.84719	0.84719	2.38034	2.38034	684.463	684.463	219.662	219.662	464.801	464.801
2.66817e-07	3.76861e-13	3.76861e-13	1.2056e-13	1.2056e-13	2.563e-13	2.563e-13	0	0.649142	3.28038	3.28038	0.845734	0.845734	2.43464	2.43464	690.692	690.692	220.957	220.957	469.735	469.735
2.83695e-07	3.79308e-13	3.79308e-13	1.21723e-13	1.21723e-13	2.57585e-13	2.57585e-13	0	0.649068	3.28991	3.28991	0.851122	0.851122	2.43878	2.43878	695.178	695.178	223.089	223.089	472.089	472.089
3.01641e-07	3.80825e-13	3.80825e-13	1.2316e-13	1.2316e-13	2.57664e-13	2.57664e-13	0	0.645784	3.25793	3.25793	0.85855	0.85855	2.39938	2.39938	697.957	697.957	225.723	225.723	472.234	472.234
3.20722e-07	3.81985e-13	3.81985e-13	1.24378e-13	1.24378e-13	2.57607e-13	2.57607e-13	0	0.6394	3.21451	3.21451	0.865394	0.865394	2.34911	2.34911	700.084	700.084	227.953	227.953	472.13	472.13
3.4101e-07	3.83205e-13	3.83205e-13	1.25187e-13	1.25187e-13	2.58018e-13	2.58018e-13	0	0.631186	3.17484	3.17484	0.871288	0.871288	2.30355	2.30355	702.319	702.319	229.436	229.436	472.883	472.883
3.62581e-07	3.84158e-13	3.84158e-13	1.25716e-13	1.25716e-13	2.58442e-13	2.58442e-13	0	0.622737	3.13179	3.13179	0.876605	0.876605	2.25519	2.25519	704.066	704.066	230.406	230.406	473.66	473.66
3.85517e-07	3.84323e-13	3.84323e-13	1.25992e-13	1.25992e-13	2.58331e-13	2.58331e-13	0	0.613731	3.07216	3.07216	0.879783	0.879783	2.19238	2.19238	704.369	704.369	230.913	230.913	473.456	473.456
4.09904e-07	3.83511e-13	3.83511e-13	1.26049e-13	1.26049e-13	2.57462e-13	2.57462e-13	0	0.602088	2.99259	2.99259	0.879465	0.879465	2.11313	2.11313	702.882	702.882	231.017	231.017	471.865	471.865
4.35833e-07	3.81973e-13	3.81973e-13	1.25912e-13	1.25912e-13	2.56061e-13	2.56061e-13	0	0.585565	2.90128	2.90128	0.874522	0.874522	2.02676	2.02676	700.062	700.062	230.765	230.765	469.297	469.297
4.63403e-07	3.80134e-13	3.80134e-13	1.25557e-13	1.25557e-13	2.54578e-13	2.54578e-13	0	0.563305	2.81056	2.81056	0.864537	0.864537	1.94602	1.94602	696.692	696.692	230.115	230.115	466.578	466.578
4.92716e-07	3.78211e-13	3.78211e-13	1.24972e-13	1.24972e-13	2.53239e-13	2.53239e-13	0	0.536619	2.72646	2.72646	0.85185	0.85185	1.87461	1.87461	693.167	693.167	229.042	229.042	464.125	464.125
5.23884e-07	3.7614e-13	3.7614e-13	1.2424e-13	1.2424e-13	2.519e-13	2.519e-13	0	0.507922	2.64621	2.64621	0.839584	0.839584	1.80662	1.80662	689.372	689.372	227.701	227.701	461.671	461.671
5.57024e-07	3.73644e-13	3.73644e-13	1.23231e-13	1.23231e-13	2.50414e-13	2.50414e-13	0	0.478353	2.56124	2.56124	0.824743	0.824743	1.73649	1.73649	684.798	684.798	225.852	225.852	458.946	458.946
5.92259e-07	3.70374e-13	3.70374e-13	1.21788e-13	1.21788e-13	2.48587e-13	2.48587e-13	0	0.447941	2.46254	2.46254	0.803513	0.803513	1.65903	1.65903	678.805	678.805	223.206	223.206	455.598	455.598
6.29724e-07	3.66246e-13	3.66246e-13	1.19975e-13	1.19975e-13	2.46272e-13	2.46272e-13	0	0.416597	2.3496	2.3496	0.777242	0.777242	1.57236	1.57236	671.239	671.239	219.884	219.884	451.355	451.355
6.69559e-07	3.6138e-13	3.6138e-13	1.17907e-13	1.17907e-13	2.43473e-13	2.43473e-13	0	0.384731	2.22768	2.22768	0.748929	0.748929	1.47875	1.47875	662.321	662.321	216.095	216.095	446.225	446.225
7.11913e-07	3.55869e-13	3.55869e-13	1.15639e-13	1.15639e-13	2.4023e-13	2.4023e-13	0	0.35311	2.10086	2.10086	0.72018	0.72018	1.38068	1.38068	652.219	652.219	211.938	211.938	440.281	440.281
7.56947e-07	3.49768e-13	3.49768e-13	1.13233e-13	1.13233e-13	2.36535e-13	2.36535e-13	0	0.322497	1.97106	1.97106	0.69154	0.69154	1.27952	1.27952	641.039	641.039	207.529	207.529	433.51	433.51
8.04829e-07	3.43138e-13	3.43138e-13	1.10714e-13	1.10714e-13	2.32424e-13	2.32424e-13	0	0.293401	1.8396	1.8396	0.662575	0.662575	1.17702	1.17702	628.886	628.886	202.911	202.911	425.975	425.975
8.5574e-07	3.36032e-13	3.36032e-13	1.08048e-13	1.08048e-13	2.27985e-13	2.27985e-13	0	0.266095	1.70778	1.70778	0.63256	0.63256	1.07522	1.07522	615.864	615.864	198.025	198.025	417.84	417.84
9.09872e-07	3.28528e-13	3.28528e-13	1.05277e-13	1.05277e-13	2.2325e-13	2.2325e-13	0	0.240772	1.57705	1.57705	0.60146	0.60146	0.97559	0.97559	602.11	602.11	192.947	192.947	409.163	409.163
9.67428e-07	3.20698e-13	3.20698e-13	1.02462e-13	1.02462e-13	2.18236e-13	2.18236e-13	0	0.217522	1.44895	1.44895	0.5695	0.5695	0.879453	0.879453	587.759	587.759	187.788	187.788	399.972	399.972
1.02862e-06	3.126e-13	3.126e-13	9.95831e-14	9.95831e-14	2.13017e-13	2.13017e-13	0	0.196283	1.32491	1.32491	0.536721	0.536721	0.788189	0.788189	572.919	572.919	182.511	182.511	390.408	390.408
1.09369e-06	3.04315e-13	3.04315e-13	9.66477e-14	9.66477e-14	2.07668e-13	2.07668e-13	0	0.176975	1.20618	1.20618	0.503436	0.503436	0.702739	0.702739	557.735	557.735	177.131	177.131	380.603	380.603
1.16288e-06	2.95912e-13	2.95912e-13	9.37089e-14	9.37089e-14	2.02203e-13	2.02203e-13	0	0.159541	1.09379	1.09379	0.470257	0.470257	0.623533	0.623533	542.333	542.333	171.745	171.745	370.588	370.588
1.23644e-06	2.87447e-13	2.87447e-13	9.0778e-14	9.0778e-14	1.96669e-13	1.96669e-13	0	0.14378	0.988564	0.988564	0.437552	0.437552	0.551013	0.551013	526.82	526.82	166.374	166.374	360.446	360.446
1.31465e-06	2.78987e-13	2.78987e-13	8.78544e-14	8.78544e-14	1.91133e-13	1.91133e-13	0	0.129442	0.890973	0.890973	0.40556	0.40556	0.485413	0.485413	511.315	511.315	161.015	161.015	350.3	350.3
1.39781e-06	2.70568e-13	2.70568e-13	8.49689e-14	8.49689e-14	1.856e-13	1.856e-13	0	0.116518	0.801064	0.801064	0.374697	0.374697	0.426367	0.426367	495.885	495.885	155.727	155.727	340.158	340.158
1.48623e-06	2.62218e-13	2.62218e-13	8.21355e-14	8.21355e-14	1.80082e-13	1.80082e-13	0	0.104974	0.718697	0.718697	0.345245	0.345245	0.373452	0.373452	480.581	480.581	150.534	150.534	330.047	330.047
1.58025e-06	2.53977e-13	2.53977e-13	7.93252e-14	7.93252e-14	1.74652e-13	1.74652e-13	0	0.0945143	0.643692	0.643692	0.317244	0.317244	0.326448	0.326448	465.477	465.477	145.383	145.383	320.094	320.094
1.68021e-06	2.45861e-13	2.45861e-13	7.65344e-14	7.65344e-14	1.69326e-13	1.69326e-13	0	0.0849686	0.575693	0.575693	0.290793	0.290793	0.2849	0.2849	450.602	450.602	140.269	140.269	310.333	310.333
1.7865e-06	2.37841e-13	2.37841e-13	7.3808e-14	7.3808e-14	1.64033e-13	1.64033e-13	0	0.0763735	0.514213	0.514213	0.26605	0.26605	0.248163	0.248163	435.904	435.904	135.272	135.272	300.633	300.633
1.8995e-06	2.29952e-13	2.29952e-13	7.11657e-14	7.11657e-14	1.58787e-13	1.58787e-13	0	0.0686514	0.458816	0.458816	0.24304	0.24304	0.215776	0.215776	421.446	421.446	130.429	130.429	291.017	291.017
2.01966e-06	2.22226e-13	2.22226e-13	6.85986e-14	6.85986e-14	1.53627e-13	1.53627e-13	0	0.0616577	0.409074	0.409074	0.221716	0.221716	0.187358	0.187358	407.284	407.284	125.724	125.724	281.56	281.56
2.14742e-06	2.14655e-13	2.14655e-13	6.61002e-14	6.61002e-14	1.48555e-13	1.48555e-13	0	0.055349	0.364509	0.364509	0.20203	0.20203	0.162479	0.162479	393.41	393.41	121.145	121.145	272.265	272.265
2.28326e-06	2.07231e-13	2.07231e-13	6.36697e-14	6.36697e-14	1.43561e-13	1.43561e-13	0	0.049684	0.324652	0.324652	0.183914	0.183914	0.140738	0.140738	379.802	379.802	116.691	116.691	263.112	263.112
2.42769e-06	1.99976e-13	1.99976e-13	6.12984e-14	6.12984e-14	1.38678e-13	1.38678e-13	0	0.0445429	0.289063	0.289063	0.167269	0.167269	0.121794	0.121794	366.507	366.507	112.345	112.345	254.162	254.162
2.58126e-06	1.92887e-13	1.92887e-13	5.89917e-14	5.89917e-14	1.33896e-13	1.33896e-13	0	0.0398585	0.257336	0.257336	0.152035	0.152035	0.105301	0.105301	353.515	353.515	108.117	108.117	245.398	245.398
2.74455e-06	1.85907e-13	1.85907e-13	5.67959e-14	5.67959e-14	1.29111e-13	1.29111e-13	0	0.0356368	0.229115	0.229115	0.138196	0.138196	0.0909198	0.0909198	340.722	340.722	104.093	104.093	236.629	236.629
2.91816e-06	1.79085e-13	1.79085e-13	5.46938e-14	5.46938e-14	1.24391e-13	1.24391e-13	0	0.03185	0.204011	0.204011	0.125601	0.125601	0.0784101	0.0784101	328.219	328.219	100.24	100.24	227.979	227.979
3.10275e-06	1.72444e-13	1.72444e-13	5.26021e-14	5.26021e-14	1.19841e-13	1.19841e-13	0	0.028448	0.181627	0.181627	0.114055	0.114055	0.0675721	0.0675721	316.046	316.046	96.4066	96.4066	219.64	219.64
3.29902e-06	1.6594e-13	1.6594e-13	5.05369e-14	5.05369e-14	1.15403e-13	1.15403e-13	0	0.0253871	0.161717	0.161717	0.103528	0.103528	0.0581882	0.0581882	304.127	304.127	92.6217	92.6217	211.506	211.506
3.50771e-06	1.59561e-13	1.59561e-13	4.8561e-14	4.8561e-14	1.11001e-13	1.11001e-13	0	0.0226322	0.144064	0.144064	0.094004	0.094004	0.0500605	0.0500605	292.437	292.437	89.0002	89.0002	203.437	203.437
3.7296e-06	1.53342e-13	1.53342e-13	4.666e-14	4.666e-14	1.06682e-13	1.06682e-13	0	0.0201564	0.128393	0.128393	0.0853744	0.0853744	0.043019	0.043019	281.038	281.038	85.5162	85.5162	195.522	195.522
3.96552e-06	1.47236e-13	1.47236e-13	4.47803e-14	4.47803e-14	1.02456e-13	1.02456e-13	0	0.0179233	0.114457	0.114457	0.0775333	0.0775333	0.036924	0.036924	269.848	269.848	82.0713	82.0713	187.776	187.776
4.21637e-06	1.41213e-13	1.41213e-13	4.29082e-14	4.29082e-14	9.8305e-14	9.8305e-14	0	0.0158908	0.102057	0.102057	0.0703978	0.0703978	0.0316593	0.0316593	258.809	258.809	78.6401	78.6401	180.169	180.169
4.48309e-06	1.3527e-13	1.3527e-13	4.10913e-14	4.10913e-14	9.41785e-14	9.41785e-14	0	0.0140503	0.091048	0.091048	0.0639415	0.0639415	0.0271064	0.0271064	247.916	247.916	75.3101	75.3101	172.606	172.606
4.76667e-06	1.29375e-13	1.29375e-13	3.93673e-14	3.93673e-14	9.00076e-14	9.00076e-14	0	0.0124015	0.0813205	0.0813205	0.0581601	0.0581601	0.0231604	0.0231604	237.112	237.112	72.1505	72.1505	164.962	164.962
5.0682e-06	1.23556e-13	1.23556e-13	3.77321e-14	3.77321e-14	8.58236e-14	8.58236e-14	0	0.0109077	0.0727564	0.0727564	0.0530095	0.0530095	0.019747	0.019747	226.447	226.447	69.1535	69.1535	157.293	157.293
5.3888e-06	1.17805e-13	1.17805e-13	3.62049e-14	3.62049e-14	8.16006e-14	8.16006e-14	0	0.00954386	0.0652564	0.0652564	0.0484597	0.0484597	0.0167966	0.0167966	215.908	215.908	66.3546	66.3546	149.554	149.554
5.72968e-06	1.11985e-13	1.11985e-13	3.48303e-14	3.48303e-14	7.71543e-14	7.71543e-14	0	0.00832036	0.0587595	0.0587595	0.0445227	0.0445227	0.0142369	0.0142369	205.24	205.24	63.8353	63.8353	141.405	141.405
6.09213e-06	1.06051e-13	1.06051e-13	3.35944e-14	3.35944e-14	7.24566e-14	7.24566e-14	0	0.00723621	0.0531803	0.0531803	0.0411559	0.0411559	0.0120244	0.0120244	194.365	194.365	61.5703	61.5703	132.795	132.795
6.4775e-06	1.00119e-13	1.00119e-13	3.23931e-14	3.23931e-14	6.77255e-14	6.77255e-14	0	0.00627324	0.0483356	0.0483356	0.0382089	0.0382089	0.0101266	0.0101266	183.492	183.492	59.3685	59.3685	124.124	124.124
6.88725e-06	9.34189e-14	9.34189e-14	3.06749e-14	3.06749e-14	6.2744e-14	6.2744e-14	0	0.00538962	0.0436097	0.0436097	0.035169	0.035169	0.00844074	0.00844074	171.214	171.214	56.2195	56.2195	114.994	114.994
7.32291e-06	8.47884e-14	8.47884e-14	2.91153e-14	2.91153e-14	5.56731e-14	5.56731e-14	0	0.00455293	0.0399338	0.0399338	0.0330412	0.0330412	0.00689256	0.00689256	155.396	155.396	53.3612	53.3612	102.035	102.035
7.78614e-06	7.81197e-14	7.81197e-14	3.32163e-14	3.32163e-14	4.49034e-14	4.49034e-14	0	0.00377946	0.0462459	0.0462459	0.0406346	0.0406346	0.00561131	0.00561131	143.174	143.174	60.8773	60.8773	82.2969	82.2969
8.27867e-06	8.38961e-14	8.38961e-14	4.28515e-14	4.28515e-14	4.10445e-14	4.10445e-14	0	0.00308133	0.0700275	0.0700275	0.0651953	0.0651953	0.00483217	0.00483217	153.761	153.761	78.5363	78.5363	75.2245	75.2245
8.80236e-06	9.73397e-14	9.73397e-14	5.47706e-14	5.47706e-14	4.25691e-14	4.25691e-14	0	0.00248097	0.106755	0.106755	0.102267	0.102267	0.00448739	0.00448739	178.4	178.4	100.381	100.381	78.0186	78.0186
9.35917e-06	1.09838e-13	1.09838e-13	6.5012e-14	6.5012e-14	4.48261e-14	4.48261e-14	0	0.00197926	0.137836	0.137836	0.133464	0.133464	0.00437184	0.00437184	201.306	201.306	119.151	119.151	82.1551	82.1551
9.9512e-06	1.12205e-13	1.12205e-13	6.63939e-14	6.63939e-14	4.58107e-14	4.58107e-14	0	0.00160876	0.133483	0.133483	0.129342	0.129342	0.00414092	0.00414092	205.643	205.643	121.684	121.684	83.9596	83.9596
1.05807e-05	1.06501e-13	1.06501e-13	6.11723e-14	6.11723e-14	4.5329e-14	4.5329e-14	0	0.00137686	0.108108	0.108108	0.104383	0.104383	0.00372518	0.00372518	195.191	195.191	112.114	112.114	83.0769	83.0769
1.125e-05	9.90102e-14	9.90102e-14	5.50659e-14	5.50659e-14	4.39443e-14	4.39443e-14	0	0.00121258	0.0846173	0.0846173	0.0813662	0.0813662	0.0032511	0.0032511	181.461	181.461	100.922	100.922	80.539	80.539
1.19616e-05	9.13261e-14	9.13261e-14	4.92439e-14	4.92439e-14	4.20823e-14	4.20823e-14	0	0.00104463	0.065496	0.065496	0.0627111	0.0627111	0.00278495	0.00278495	167.378	167.378	90.2518	90.2518	77.1264	77.1264
1.27183e-05	8.38611e-14	8.38611e-14	4.38532e-14	4.38532e-14	4.00078e-14	4.00078e-14	0	0.000823389	0.0505511	0.0505511	0.0481958	0.0481958	0.00235526	0.00235526	153.697	153.697	80.3721	80.3721	73.3245	73.3245
1.35228e-05	7.68497e-14	7.68497e-14	3.93216e-14	3.93216e-14	3.75281e-14	3.75281e-14	0	0.000531882	0.0409397	0.0409397	0.0389909	0.0389909	0.00194886	0.00194886	140.847	140.847	72.0668	72.0668	68.7797	68.7797
1.43782e-05	7.04789e-14	7.04789e-14	3.61676e-14	3.61676e-14	3.43112e-14	3.43112e-14	0	0.000210571	0.036747	0.036747	0.0351772	0.0351772	0.00156977	0.00156977	129.17	129.17	66.2863	66.2863	62.884	62.884
1.52878e-05	6.68816e-14	6.68816e-14	3.60127e-14	3.60127e-14	3.08689e-14	3.08689e-14	0	-7.56737e-05	0.03875	0.03875	0.0374704	0.0374704	0.0012796	0.0012796	122.577	122.577	66.0023	66.0023	56.5751	56.5751
1.62548e-05	6.66004e-14	6.66004e-14	3.82521e-14	3.82521e-14	2.83483e-14	2.83483e-14	0	-0.000321186	0.0449006	0.0449006	0.0438106	0.0438106	0.00109003	0.00109003	122.062	122.062	70.1066	70.1066	51.9555	51.9555
1.72831e-05	6.73239e-14	6.73239e-14	4.04001e-14	4.04001e-14	2.69238e-14	2.69238e-14	0	-0.000538794	0.0501328	0.0501328	0.049169	0.049169	0.000963774	0.000963774	123.388	123.388	74.0434	74.0434	49.3446	49.3446
1.83763e-05	6.73605e-14	6.73605e-14	4.11827e-14	4.11827e-14	2.61778e-14	2.61778e-14	0	-0.000739247	0.0514578	0.0514578	0.0505858	0.0505858	0.000872009	0.000872009	123.455	123.455	75.4777	75.4777	47.9774	47.9774
1.95388e-05	6.57532e-14	6.57532e-14	4.01479e-14	4.01479e-14	2.56053e-14	2.56053e-14	0	-0.000922861	0.0483466	0.0483466	0.0475558	0.0475558	0.000790825	0.000790825	120.509	120.509	73.5811	73.5811	46.9283	46.9283
2.07747e-05	6.2835e-14	6.2835e-14	3.81171e-14	3.81171e-14	2.47178e-14	2.47178e-14	0	-0.00107827	0.0435637	0.0435637	0.0428608	0.0428608	0.000702909	0.000702909	115.161	115.161	69.8593	69.8593	45.3017	45.3017
2.20889e-05	5.94888e-14	5.94888e-14	3.59405e-14	3.59405e-14	2.35483e-14	2.35483e-14	0	-0.00121122	0.0390827	0.0390827	0.0384693	0.0384693	0.000613402	0.000613402	109.028	109.028	65.8701	65.8701	43.1582	43.1582
2.34862e-05	5.63403e-14	5.63403e-14	3.39635e-14	3.39635e-14	2.23768e-14	2.23768e-14	0	-0.00133785	0.0353674	0.0353674	0.0348336	0.0348336	0.000533829	0.000533829	103.258	103.258	62.2466	62.2466	41.0111	41.0111
2.49719e-05	5.34078e-14	5.34078e-14	3.21697e-14	3.21697e-14	2.12382e-14	2.12382e-14	0	-0.00145978	0.03226	0.03226	0.0317958	0.0317958	0.000464254	0.000464254	97.8834	97.8834	58.9591	58.9591	38.9243	38.9243
2.65515e-05	5.05733e-14	5.05733e-14	3.04719e-14	3.04719e-14	2.01014e-14	2.01014e-14	0	-0.00157121	0.0295202	0.0295202	0.0291176	0.0291176	0.000402634	0.000402634	92.6883	92.6883	55.8475	55.8475	36.8408	36.8408
2.82311e-05	4.78805e-14	4.78805e-14	2.88925e-14	2.88925e-14	1.89881e-14	1.89881e-14	0	-0.00165448	0.0271138	0.0271138	0.0267649	0.0267649	0.000348945	0.000348945	87.7532	87.7532	52.9528	52.9528	34.8004	34.8004
3.00169e-05	4.53303e-14	4.53303e-14	2.7426e-14	2.7426e-14	1.79044e-14	1.79044e-14	0	-0.00169895	0.0249891	0.0249891	0.0246866	0.0246866	0.000302481	0.000302481	83.0793	83.0793	50.265	50.265	32.8143	32.8143
3.19157e-05	4.28346e-14	4.28346e-14	2.60009e-14	2.60009e-14	1.68337e-14	1.68337e-14	0	-0.00171251	0.0230248	0.0230248	0.0227629	0.0227629	0.00026182	0.00026182	78.5053	78.5053	47.6533	47.6533	30.852	30.852
